freq,syl,let,word,imag,conc,meaning,list
1,5,12,emancipation,3.2,2.49,5.2,1
37,4,8,capacity,3.4,2.41,5.44,1
5,3,6,equity,2.23,2.57,3.72,1
8,2,7,bouquet,6.77,6.55,5.76,1
2,2,7,missile,6.33,6.8,6.48,1
100,2,6,garden,6.73,6.83,6.36,1
21,2,7,sulphur,6.03,6.72,6.25,1
2,2,6,upkeep,3.07,2.5,4.76,1
7,3,9,hurricane,6.33,6.52,7.04,1
100,1,5,shore,6.63,6.69,8.13,1
50,3,10,expression,3.57,2.48,6.13,1
100,2,6,answer,2.77,4.49,6.04,1
100,2,7,trouble,3.53,2.25,5.08,1
5,3,8,lecturer,5.7,6.49,5.88,1
2,3,8,jeopardy,3.03,2,3.48,1
27,1,3,inn,6.07,6.8,6.61,1
100,1,4,form,4.3,4.08,4.6,1
10,3,9,promotion,3.33,3.56,5.56,1
50,2,8,contract,4.5,5.24,6.32,1
100,1,4,seat,6.4,6.79,6.08,1
2,2,6,hurdle,6.33,6.65,5.92,1
100,1,6,speech,4.33,4.87,5.36,1
1,3,8,domicile,4.2,4.89,4.96,1
100,1,5,table,6.5,7,7.6,1
50,3,6,memory,3.1,1.78,5,1
50,1,4,poet,5.27,6.35,5.36,1
10,3,9,orchestra,6.77,6.55,6.76,1
20,2,7,slipper,6.47,6.94,6.04,1
1,4,8,allegory,2.13,2.56,4.48,1
17,2,7,trumpet,6.6,7,6.8,1
50,2,6,shadow,5.63,4.94,5.28,1
1,4,10,centennial,4.1,3.45,6.13,1
9,3,7,edifice,4.7,6.56,5.16,1
27,2,6,kettle,6.23,7,7.44,1
25,1,3,fox,6.73,7,7.4,1
21,4,11,recognition,3.6,2,5.04,1
1,2,6,surtax,1.63,4.12,2.96,1
1,2,6,gadfly,3.77,5.87,3.28,1
26,2,7,comrade,5.57,5.65,5.58,1
5,5,14,multiplication,4.73,3.84,6,1
38,1,4,limb,6.17,6.93,6.8,1
5,3,9,racketeer,5.07,6.07,5.56,1
50,1,5,wheat,6.4,7,7.96,1
100,1,5,queen,6.57,6.38,7.36,1
50,2,5,tower,6.53,6.96,6.42,1
100,2,5,sugar,6.57,6.96,7,1
50,2,7,product,4.2,5.8,5.12,1
50,2,8,clothing,6.17,6.63,7.08,1
100,1,3,arm,6.53,6.96,6.92,1
100,2,6,market,6.13,6.08,7.04,1
1,1,4,kine,2,4.53,2.88,1
50,3,9,furniture,6.17,6.83,6.6,1
50,3,9,professor,6.17,6.52,5.4,1
23,1,4,claw,6.33,6.89,6.67,1
9,3,7,robbery,5,4.75,6.16,1
9,3,10,microscope,6.57,7,5.48,1
5,3,9,comforter,5.03,5.06,6.19,1
4,3,10,passageway,5.53,6.28,5.08,1
29,2,8,blessing,4.43,1.75,6.19,1
50,2,5,devil,5.63,2.13,6.94,1
36,3,7,tobacco,6.27,6.87,7.84,1
50,3,8,evidence,3.23,3.45,6.2,1
4,2,6,impact,4.47,3.73,5.71,1
100,1,4,rock,6.37,6.96,5.96,1
23,3,12,headquarters,5.03,5.94,5.08,1
20,2,6,errand,4.27,4.21,6.48,1
50,3,8,hospital,6.53,6.8,7.44,1
8,4,8,velocity,3.97,3.32,5.72,1
50,3,7,quality,3.1,2.13,5.52,1
4,3,9,honeycomb,6.23,6.5,5.78,1
2,2,8,hardwood,5.77,6.58,5.46,1
50,1,5,crime,4.43,3.81,6.84,1
28,3,10,profession,3.83,3.65,5.44,1
13,3,7,vehicle,6.23,6.45,7.08,1
21,4,10,ambassador,5.7,6.22,5.22,1
37,2,5,arrow,6.57,7,6.8,1
