,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown
133,66,230,1,2,6,belfry,4.43,5.96,6.25,1,231,0
134,140,514,100,2,5,ocean,6.77,6.9,8.76,1,515,0
135,121,442,100,2,6,mother,6.67,6.52,5.83,1,443,1
136,14,60,27,1,4,chin,6.43,6.96,5.28,1,61,1
137,214,819,41,2,8,forehead,6.27,6.93,5.08,1,820,1
138,100,361,2,4,10,prosecutor,5.0,5.87,6.32,1,362,0
139,10,46,1,2,7,buffoon,4.33,4.63,4.5,1,47,0
140,161,608,12,4,9,hostility,4.23,2.18,5.64,1,609,1
141,142,517,24,3,7,miracle,3.33,2.25,5.6,1,518,1
142,217,827,1,5,11,unification,2.77,2.51,4.76,1,828,0
143,86,304,50,2,8,contract,4.5,5.24,6.32,1,305,0
144,118,422,16,2,5,abode,5.07,6.31,6.64,1,423,1
145,237,890,29,2,6,beggar,6.4,6.25,6.5,1,891,1
146,203,783,50,2,6,volume,4.53,5.14,6.16,1,784,1
147,29,125,37,4,8,capacity,3.4,2.41,5.44,1,126,1
148,131,493,50,1,4,fate,2.37,1.46,4.0,1,494,0
149,61,215,19,2,5,jelly,6.4,6.73,6.0,1,216,0
150,112,400,50,1,4,bowl,6.3,6.9,7.24,1,401,0
151,193,751,7,2,5,opium,4.6,6.44,5.88,1,752,0
152,93,331,50,2,6,safety,4.27,2.25,5.76,1,332,0
153,23,110,100,1,4,door,6.6,7.0,7.96,1,111,1
154,54,200,19,2,7,builder,5.7,6.05,5.56,1,201,0
155,91,325,50,2,6,custom,3.43,2.99,5.33,1,326,0
156,68,234,4,3,6,ritual,4.7,3.7,5.12,1,235,1
157,225,851,50,2,6,vessel,5.9,6.99,7.82,1,852,0
158,151,578,50,1,5,brain,5.93,6.63,6.8,1,579,1
159,53,199,1,2,7,juggler,6.1,6.45,5.84,1,200,0
160,165,636,19,2,8,portrait,5.87,6.63,5.52,1,637,0
161,89,317,1,3,9,brassiere,6.77,6.96,4.75,1,318,0
162,190,733,1,4,9,amplifier,5.8,6.53,5.96,1,734,0
163,13,52,50,4,9,situation,2.53,2.76,4.84,1,53,0
164,94,335,1,1,6,shriek,5.73,5.7,6.92,1,336,1
165,170,677,100,1,5,dream,4.6,3.03,5.44,1,678,1
166,28,123,100,1,5,storm,6.43,6.45,7.21,1,124,1
167,124,456,100,2,4,army,6.53,6.55,6.88,1,457,1
168,110,389,3,3,8,scorpion,6.27,6.93,6.24,1,390,1
169,104,371,4,2,9,courtship,5.3,3.22,6.13,1,372,0
170,22,109,3,3,7,algebra,5.17,4.85,6.72,1,110,1
171,150,565,9,3,7,dynasty,3.63,4.14,6.28,1,566,0
172,169,652,1,4,11,functionary,1.77,2.62,4.29,1,653,0
173,184,721,9,3,7,edifice,4.7,6.56,5.16,1,722,0
174,65,227,27,1,5,sauce,5.8,6.76,5.88,1,228,0
175,16,74,4,1,5,wench,5.3,6.2,5.08,1,75,1
176,175,686,100,2,7,silence,4.1,3.09,5.82,1,687,1
177,62,219,24,3,10,tablespoon,6.33,6.9,5.63,1,220,1
178,233,875,27,2,5,baron,5.1,5.77,5.72,1,876,0
179,78,274,100,1,5,chief,6.07,5.87,6.08,1,275,1
180,58,207,5,1,4,stub,4.97,6.2,5.24,1,208,0
181,192,746,3,2,7,shotgun,6.6,6.96,7.88,1,747,0
182,107,378,100,1,5,dress,6.53,6.93,5.68,1,379,0
183,213,809,2,3,9,diffusion,3.4,3.18,5.67,1,810,0
184,154,587,1,4,10,centennial,4.1,3.45,6.13,1,588,0
185,200,776,1,3,5,idiom,3.0,3.44,4.6,1,777,1
186,114,414,1,2,6,abbess,2.97,4.78,2.48,1,415,1
187,79,279,50,2,5,cabin,6.47,6.96,7.2,1,280,0
188,4,19,2,2,9,horsehair,5.67,6.8,6.2,1,20,0
189,17,81,1,4,9,infirmary,5.63,6.43,6.65,1,82,1
190,98,348,1,3,11,cobblestone,5.87,6.58,6.38,1,349,0
191,239,895,28,2,5,salad,6.53,6.83,7.2,1,896,1
192,129,484,50,1,5,pride,4.23,1.49,5.24,1,485,0
193,146,532,19,4,11,caterpillar,6.57,6.96,6.88,1,533,0
194,50,189,28,5,11,examination,6.07,5.14,7.0,1,190,0
195,88,315,29,1,5,peach,6.6,6.8,6.84,1,316,1
196,158,601,1,3,11,thistledown,3.83,6.14,4.76,1,602,0
197,116,416,100,2,5,river,6.63,6.83,7.52,1,417,0
198,195,763,50,1,4,poet,5.27,6.35,5.36,1,764,1
199,173,684,26,2,5,elbow,6.3,6.94,5.16,1,685,0
200,83,294,100,1,5,horse,6.8,6.94,8.67,1,295,1
201,127,471,38,1,4,limb,6.17,6.93,6.8,1,472,0
202,139,513,10,3,9,promotion,3.33,3.56,5.56,1,514,1
203,24,113,22,3,9,butterfly,6.63,6.93,7.8,1,114,0
204,84,297,7,4,10,periodical,4.93,6.14,5.52,1,298,0
205,39,151,100,2,6,honour,3.5,1.75,5.08,1,152,0
206,97,347,100,1,6,street,6.57,6.62,7.48,1,348,0
207,63,220,3,2,9,labyrinth,4.83,6.16,4.8,1,221,1
208,37,142,8,2,6,deceit,3.3,1.66,4.92,1,143,1
209,210,800,50,3,6,potato,6.5,7.0,7.13,1,801,0
210,5,29,19,2,6,vigour,4.43,2.6,5.72,1,30,1
211,20,105,100,2,7,trouble,3.53,2.25,5.08,1,106,0
212,109,386,3,3,11,distraction,3.23,2.35,4.12,1,387,1
213,69,235,21,3,9,institute,4.6,5.84,4.92,1,236,0
214,206,789,50,2,5,event,2.9,3.72,5.04,1,790,1
215,143,523,100,1,4,lord,4.63,4.18,6.68,1,524,0
216,221,836,23,2,6,banner,5.93,6.58,6.2,1,837,1
217,96,343,100,3,8,interest,3.13,2.2,5.52,1,344,0
218,125,467,5,3,6,equity,2.23,2.57,3.72,1,468,0
219,183,718,5,2,6,bandit,5.83,6.28,6.92,1,719,1
220,207,790,22,2,7,butcher,6.27,6.42,6.72,1,791,0
221,171,679,50,1,7,science,4.07,3.05,6.56,1,680,0
222,87,308,20,3,7,admiral,6.2,6.35,6.11,1,309,1
223,179,695,50,1,5,shock,4.67,3.97,6.2,1,696,1
224,12,51,21,2,8,moisture,5.2,6.24,6.72,1,52,0
225,57,204,50,3,10,expression,3.57,2.48,6.13,1,205,0
226,26,116,14,3,7,volcano,6.63,6.83,7.6,1,117,1
227,199,774,22,4,7,anxiety,4.03,1.63,5.69,1,775,1
228,202,781,50,3,9,happiness,5.13,1.94,6.0,1,782,1
229,205,786,3,1,5,truce,4.8,3.05,6.17,1,787,1
230,196,764,2,4,9,brutality,4.9,3.19,5.06,1,765,1
231,132,495,26,3,6,misery,4.37,2.28,5.84,1,496,0
232,160,604,100,2,6,forest,6.63,6.69,9.12,1,605,0
233,155,590,100,1,4,skin,6.43,6.96,5.67,1,591,1
234,136,501,8,1,4,crag,4.77,6.42,5.44,1,502,1
235,176,691,2,4,8,delirium,4.8,2.79,5.0,1,692,0
236,128,475,26,3,9,attendant,5.03,6.07,4.5,1,476,0
237,235,884,17,2,7,pudding,6.27,6.6,7.31,1,885,1
238,8,44,50,1,3,fun,5.23,2.45,5.5,1,45,0
239,113,412,1,2,11,forethought,2.57,1.83,4.4,1,413,0
