,level_0,index,freq,syl,let,word,imag,conc,meaning,list,id,is_shown
117,151,497,1,2,6,rating,2.6,2.66,5.12,1,498,1
118,120,400,50,1,4,bowl,6.3,6.9,7.24,1,401,0
119,140,453,21,3,10,discipline,3.57,2.17,6.04,1,454,0
120,227,834,100,1,4,seat,6.4,6.79,6.08,1,835,1
121,148,483,8,2,7,creator,3.87,3.97,5.68,1,484,0
122,39,155,27,3,10,procession,5.7,5.9,5.63,1,156,0
123,172,578,50,1,5,brain,5.93,6.63,6.8,1,579,1
124,56,206,1,3,10,peacemaker,4.03,4.97,5.08,1,207,0
125,47,176,28,1,5,snake,6.9,7.0,6.88,1,177,1
126,24,85,100,2,6,amount,2.73,3.62,5.84,1,86,0
127,155,517,24,3,7,miracle,3.33,2.25,5.6,1,518,0
128,60,222,47,2,6,meadow,6.43,6.69,8.0,1,223,1
129,99,332,23,1,4,oats,6.07,6.9,7.16,1,333,0
130,87,307,9,3,10,exhaustion,5.1,3.4,6.08,1,308,0
131,210,751,7,2,5,opium,4.6,6.44,5.88,1,752,0
132,220,798,19,2,6,crisis,3.43,2.81,5.44,1,799,0
133,131,427,50,3,6,salary,4.7,5.23,5.08,1,428,1
134,121,412,1,2,11,forethought,2.57,1.83,4.4,1,413,0
135,97,328,29,3,9,sentiment,3.57,1.83,4.88,1,329,0
136,66,246,49,1,3,toy,6.17,6.63,6.96,1,247,1
137,107,365,7,2,7,dweller,4.37,5.8,5.09,1,366,1
138,71,262,20,2,6,errand,4.27,4.21,6.48,1,263,0
139,111,377,27,1,4,lime,5.67,6.69,7.12,1,378,0
140,130,426,23,1,4,boss,5.73,6.35,5.81,1,427,0
141,5,15,26,2,8,conquest,4.03,3.11,5.81,1,16,0
142,23,79,35,3,8,elephant,6.83,7.0,6.88,1,80,1
143,206,727,22,2,6,infant,6.33,6.76,7.2,1,728,0
144,189,631,2,1,5,spree,4.27,2.81,5.79,1,632,0
145,21,71,35,1,5,bloom,5.63,5.82,5.12,1,72,0
146,3,8,27,2,5,maker,3.57,4.46,5.0,1,9,0
147,201,702,8,4,8,bacteria,5.33,6.38,6.12,1,703,1
148,237,892,37,3,9,affection,4.87,2.18,6.36,1,893,0
149,159,538,3,1,4,suds,6.4,6.75,7.29,1,539,0
150,231,851,50,2,6,vessel,5.9,6.99,7.82,1,852,1
151,202,709,1,2,10,guardhouse,5.8,6.69,5.76,1,710,1
152,57,210,5,3,9,comforter,5.03,5.06,6.19,1,211,1
153,184,611,7,3,7,epistle,4.23,5.58,5.63,1,612,0
154,138,449,24,3,10,engagement,4.7,3.46,5.76,1,450,1
155,112,380,50,2,5,tower,6.53,6.96,6.42,1,381,0
156,65,241,100,2,9,knowledge,2.97,1.56,6.36,1,242,0
157,62,231,2,2,6,tripod,6.23,6.82,5.76,1,232,1
158,80,289,2,2,8,chloride,4.2,6.28,5.75,1,290,0
159,129,423,17,3,6,comedy,4.9,3.51,6.08,1,424,0
160,55,203,10,3,8,illusion,3.53,2.03,4.67,1,204,1
161,26,90,22,1,4,lark,6.2,6.83,5.84,1,91,0
162,104,355,50,1,5,wheat,6.4,7.0,7.96,1,356,0
163,211,755,1,2,6,icebox,6.17,6.9,6.28,1,756,1
164,14,52,50,4,9,situation,2.53,2.76,4.84,1,53,1
165,199,691,2,4,8,delirium,4.8,2.79,5.0,1,692,1
166,78,282,100,1,5,queen,6.57,6.38,7.36,1,283,0
167,212,757,50,2,7,fortune,4.57,3.82,6.0,1,758,1
168,45,171,100,3,8,position,2.97,3.31,6.24,1,172,0
169,235,878,4,5,9,animosity,3.6,1.81,5.19,1,879,1
170,83,292,20,1,5,quest,4.53,2.76,5.2,1,293,0
171,214,766,32,2,6,cellar,6.27,6.83,6.79,1,767,1
172,198,670,22,1,4,jail,6.43,6.69,7.38,1,671,0
173,207,733,1,4,9,amplifier,5.8,6.53,5.96,1,734,0
174,43,168,20,2,7,monarch,6.2,6.4,6.92,1,169,0
175,157,526,26,2,7,comrade,5.57,5.65,5.58,1,527,0
176,76,275,100,3,7,officer,6.23,6.32,5.43,1,276,0
177,229,842,27,2,6,robber,5.67,6.25,6.88,1,843,1
178,183,609,5,5,14,multiplication,4.73,3.84,6.0,1,610,0
179,161,543,3,3,8,outsider,5.27,5.07,4.56,1,544,0
180,213,764,2,4,9,brutality,4.9,3.19,5.06,1,765,1
181,230,846,1,4,10,unbeliever,2.6,4.0,4.72,1,847,1
182,4,10,8,4,9,violation,3.57,2.92,5.92,1,11,1
183,16,57,50,1,5,crime,4.43,3.81,6.84,1,58,1
184,35,123,100,1,5,storm,6.43,6.45,7.21,1,124,0
185,239,896,50,1,5,steam,6.37,6.41,7.46,1,897,1
186,33,112,100,1,4,hope,3.83,1.18,5.52,1,113,1
187,11,37,23,2,5,drama,4.9,3.66,7.0,1,38,1
188,95,324,19,2,9,northwest,4.0,3.97,5.76,1,325,0
189,8,28,1,4,10,exactitude,2.23,1.69,3.0,1,29,0
190,41,161,3,1,3,pep,4.6,2.73,6.04,1,162,0
191,89,316,22,2,7,goddess,5.23,3.04,6.48,1,317,0
192,180,601,1,3,11,thistledown,3.83,6.14,4.76,1,602,0
193,203,716,8,2,7,outcome,2.4,2.8,4.24,1,717,1
194,50,189,28,5,11,examination,6.07,5.14,7.0,1,190,1
195,110,373,100,1,5,plant,6.5,6.87,8.32,1,374,0
196,224,811,37,3,11,destruction,5.27,3.61,5.32,1,812,1
197,115,387,5,2,5,venom,4.23,5.62,6.4,1,388,1
198,152,506,3,3,10,inducement,2.93,2.34,3.68,1,507,1
199,185,613,26,3,9,fisherman,6.5,6.52,7.84,1,614,0
200,179,600,25,2,7,welfare,3.17,2.35,6.16,1,601,1
201,1,5,30,2,5,angle,5.5,5.19,6.24,1,6,0
202,170,573,100,1,5,chair,6.63,7.0,7.2,1,574,1
203,228,838,2,2,6,deluge,4.57,4.38,5.32,1,839,0
204,96,325,50,2,6,custom,3.43,2.99,5.33,1,326,1
205,219,797,29,2,8,twilight,5.93,5.77,6.56,1,798,1
206,187,617,7,3,9,firmament,4.3,4.5,4.96,1,618,0
207,222,802,1,2,7,context,2.13,2.73,4.44,1,803,0
208,100,334,19,1,6,bronze,6.17,6.59,6.19,1,335,0
209,190,640,3,2,6,locker,6.27,6.96,6.44,1,641,0
210,61,225,100,1,4,mind,3.03,2.6,5.88,1,226,0
211,53,195,50,2,5,owner,4.23,5.9,5.71,1,196,0
212,168,563,4,1,5,flask,6.5,7.0,6.28,1,564,1
213,192,643,3,1,3,keg,6.4,6.87,4.84,1,644,1
214,193,648,1,3,6,sonata,4.53,5.73,5.56,1,649,1
215,34,113,22,3,9,butterfly,6.63,6.93,7.8,1,114,1
216,27,91,26,2,4,item,3.67,5.27,4.96,1,92,1
217,109,371,4,2,9,courtship,5.3,3.22,6.13,1,372,1
218,13,48,6,2,7,blister,6.53,6.67,7.13,1,49,1
219,178,598,9,3,10,combustion,5.1,4.98,6.72,1,599,0
220,164,549,3,3,10,gymnastics,5.83,5.08,5.52,1,550,0
221,141,454,100,3,7,history,3.47,3.03,6.91,1,455,0
222,223,807,5,2,7,profile,5.97,5.72,5.6,1,808,1
223,94,323,1,2,6,foible,2.2,3.07,2.6,1,324,0
224,20,69,8,2,7,essence,2.33,1.66,3.28,1,70,1
225,163,548,50,1,6,breast,6.77,6.8,5.81,1,549,1
226,126,419,4,3,9,exclusion,2.8,2.41,5.32,1,420,1
227,114,385,31,1,4,fork,6.57,6.94,7.08,1,386,0
228,67,251,14,2,7,tempest,5.63,5.62,6.96,1,252,1
229,143,461,1,3,8,pacifism,3.9,2.06,3.8,1,462,1
230,221,801,1,3,7,acrobat,6.53,6.38,5.67,1,802,1
231,98,331,50,2,6,safety,4.27,2.25,5.76,1,332,1
232,46,174,8,1,4,bard,4.9,5.03,4.8,1,175,0
233,196,657,21,2,6,fabric,5.6,6.55,6.48,1,658,1
234,175,590,100,1,4,skin,6.43,6.96,5.67,1,591,1
235,194,655,100,2,4,city,6.43,6.41,7.72,1,656,1
236,195,656,24,1,4,link,4.8,5.38,5.2,1,657,1
237,124,415,1,4,9,criterion,1.83,1.93,3.0,1,416,0
238,149,487,3,2,8,kerchief,5.23,6.82,6.48,1,488,1
239,139,452,4,4,9,avalanche,6.27,6.38,6.72,1,453,0
